資産区分,名称,取得年月日,取得価額,予想使用可能年数,減価償却費,備考
建物,事務所（ユニットハウス）,2020/2/19,655000,25,26200,
機械,パワーハロー,2020/6/8,704000,7,0,
機械,スカブルカルチ,2020/9/28,550000,10,55000,
機械,かんしょ移植機,2020/10/20,869000,10,86900,
機械,クボタB92,2020/10/30,745800,10,74580,
機械,音声式重量選別機,2020/11/12,228000,10,22800,
機械,クボタ乗用田植機,2021/4/28,4121700,10,412170,
機械,GPS自動操縦システムXC1050,2021/3/25,2266000,10,226600,
機械,ハイクリ自動操舵システム,2021/4/15,636000,10,63600,
建物,更衣室ユニットハウス,2021/2/10,420000,35,12000,
機械,あぜ草刈機,2021/4/12,249700,12,20808,
機械,いすゞエルフ２ｔダンプ,2021/9/4,2444230,4,0,
施設,ホッパーコンテナ,2021/9/24,231000,10,23100,
機械,自動操舵システムMZ655,2021/11/29,518000,10,51800,
機械,山本乾燥機HD60VNR２台分,2022/3/1,4200000,10,420000,
機械,ニチノーカルチベーター,2022/4/29,130000,5,0,
機械,あぜ草刈機AZ746F,2022/5/20,209091,10,20909,
車両,NV350キャラバン,2022/7/2,1459091,4,0,
機械,ニプロ溝堀機OM312E0S,2022/11/28,454546,5,0,
機械,ドローンT30,2023/3/24,1059667,10,105966,
機械,ヰセキAT46,2023/4/28,2727273,5,545454,
機械,クボタあぜ草刈り機GC-K402EX,2023/6/1,218182,10,21818,
建物,中古フジユニットハウス,2024/1/17,350000,12,29166,
機械,ブロードキャスター,2024/2/13,227273,5,45454,
機械,中古クボタミニショベル,2024/3/4,2200000,5,440000,
機械,汎用型微細断飼料収穫機,2024/7/4,10450000,10,2090000,
機械,マルチヘッダアタッチ,2024/7/4,1225000,10,245000,
機械,自動注油アタッチ,2024/7/4,99000,10,19800,
機械,自走ラップマシン,2024/7/4,2050000,10,410000,
機械,丸久グラブ,2024/7/4,239000,10,47800,
